iter	Passed	Remaining
185	486	2129
186	488	2121
187	489	2115
188	491	2108
189	492	2101
190	494	2094
191	496	2088
192	500	2094
193	502	2087
194	504	2081
195	505	2073
196	506	2065
197	508	2058
198	509	2050
199	510	2043
200	513	2043
201	515	2035
202	516	2029
203	518	2023
204	519	2016
205	521	2009
206	522	2003
207	524	1996
208	525	1990
209	528	1986
210	529	1980
211	531	1974
212	532	1968
213	534	1961
214	535	1955
215	536	1948
216	538	1942
217	539	1935
218	542	1934
219	543	1928
220	545	1921
221	546	1915
222	547	1909
223	549	1902
224	551	1897
225	552	1891
226	553	1885
227	555	1880
228	557	1878
229	561	1878
230	562	1873
231	564	1867
232	566	1863
233	567	1857
234	568	1851
235	570	1848
236	572	1844
237	574	1838
238	575	1832
239	576	1826
240	578	1822
241	580	1817
242	581	1811
243	582	1805
244	583	1799
245	586	1797
246	587	1792
247	589	1787
248	590	1782
249	592	1776
250	593	1771
251	594	1765
252	596	1760
253	597	1755
254	598	1749
255	602	1749
256	603	1744
257	604	1738
258	605	1733
259	607	1728
260	608	1722
261	609	1717
262	610	1712
263	612	1707
264	613	1702
265	616	1701
266	617	1696
267	619	1691
268	621	1688
269	622	1683
270	624	1678
271	625	1673
272	626	1669
273	628	1664
274	630	1661
275	632	1658
276	633	1653
277	634	1649
278	636	1644
279	637	1639
280	639	1635
281	640	1632
282	642	1628
283	644	1624
284	646	1622
285	648	1617
286	649	1613
287	650	1608
288	652	1605
289	654	1601
290	655	1598
291	658	1596
292	661	1597
293	663	1593
294	664	1588
295	666	1584
296	667	1579
297	668	1575
298	670	1571
299	671	1566
300	672	1562
301	674	1558
302	676	1557
303	678	1553
304	679	1548
305	681	1545
306	682	1541
307	684	1537
308	685	1533
309	687	1529
310	688	1524
311	691	1524
312	692	1520
313	693	1516
314	695	1512
315	696	1507
316	698	1504
317	699	1500
318	701	1496
319	702	1492
320	703	1488
321	705	1485
322	706	1481
323	708	1477
324	709	1474
325	711	1470
326	712	1466
327	713	1462
328	715	1458
329	716	1454
330	719	1453
331	720	1449
332	721	1445
333	723	1442
334	724	1438
335	725	1434
336	727	1430
337	728	1426
338	729	1423
339	731	1419
340	734	1418
341	735	1415
342	736	1411
343	738	1407
344	739	1404
345	740	1400
346	742	1396
347	743	1393
348	749	1397
349	750	1394
350	752	1391
351	753	1387
352	755	1384
353	757	1381
354	758	1378
355	759	1374
356	761	1370
357	763	1369
358	764	1365
359	766	1362
360	767	1358
361	768	1355
362	770	1352
363	772	1349
364	773	1346
365	775	1342
366	776	1339
367	779	1338
368	780	1335
369	782	1332
370	784	1329
371	785	1326
372	787	1323
373	788	1320
374	790	1316
375	791	1313
376	793	1312
377	795	1308
378	796	1305
379	797	1301
380	799	1298
381	800	1295
382	801	1291
383	803	1288
384	804	1285
385	806	1282
386	808	1281
387	810	1277
388	811	1274
389	812	1271
390	814	1267
391	815	1264
392	816	1261
393	817	1258
394	819	1255
395	820	1251
396	823	1250
397	824	1247
398	826	1244
399	827	1241
400	828	1238
401	830	1234
402	831	1232
403	832	1228
404	837	1229
405	839	1227
406	840	1224
407	841	1221
408	843	1218
409	845	1216
410	846	1213
411	847	1209
412	850	1208
413	851	1205
414	853	1202
415	854	1199
416	855	1196
417	857	1193
418	858	1190
419	859	1187
420	861	1184
421	862	1181
422	863	1178
423	866	1176
424	867	1173
425	868	1170
426	870	1167
427	871	1164
428	872	1161
429	874	1159
430	875	1156
431	877	1153
432	879	1152
433	881	1150
434	883	1147
435	884	1144
436	886	1141
437	887	1138
438	889	1136
439	890	1133
440	891	1130
441	893	1127
442	895	1126
443	897	1123
444	898	1120
445	899	1117
446	901	1114
447	902	1111
448	903	1108
449	904	1105
450	906	1102
451	907	1100
452	910	1099
453	911	1096
454	913	1094
455	915	1091
456	916	1088
457	917	1086
458	919	1083
459	920	1080
460	922	1078
461	925	1077
462	926	1075
463	928	1072
464	929	1069
465	931	1066
466	932	1064
467	933	1061
468	934	1058
469	936	1055
470	937	1052
471	940	1052
472	942	1049
473	943	1047
474	944	1044
475	946	1041
476	948	1040
477	949	1037
478	951	1034
479	952	1032
480	955	1031
481	957	1028
482	958	1025
483	959	1023
484	961	1020
485	962	1017
486	963	1014
487	964	1012
488	966	1009
489	967	1007
490	970	1006
491	973	1004
492	974	1002
493	976	1000
494	977	997
495	978	994
496	980	992
497	981	989
498	984	988
499	985	985
500	987	983
501	989	981
502	990	978
503	991	976
504	993	973
505	994	970
506	996	968
507	999	967
508	1001	965
509	1005	966
510	1007	963
511	1008	961
512	1010	959
513	1011	956
514	1012	953
515	1015	952
516	1017	950
517	1018	947
518	1019	944
519	1020	942
520	1022	939
521	1023	937
522	1024	934
523	1026	932
524	1027	929
525	1030	928
526	1032	926
527	1034	924
528	1035	922
529	1038	920
530	1041	919
531	1042	917
532	1045	916
533	1047	913
534	1048	911
535	1049	908
536	1051	906
537	1052	904
538	1054	902
539	1056	899
540	1057	897
541	1060	895
542	1061	893
543	1063	891
544	1064	888
545	1065	886
546	1067	883
547	1069	881
548	1070	879
549	1072	877
550	1075	876
551	1079	876
552	1082	875
553	1084	873
554	1090	874
555	1092	872
556	1094	870
557	1108	877
558	1118	882
559	1123	882
560	1125	881
561	1128	879
562	1130	877
563	1134	876
564	1137	875
565	1139	873
566	1142	872
567	1147	872
568	1149	870
569	1152	869
570	1154	867
571	1156	865
572	1158	863
573	1160	861
574	1162	859
575	1164	857
576	1168	856
577	1170	854
578	1172	852
579	1174	850
580	1176	848
581	1183	850
582	1185	848
583	1187	846
584	1189	843
585	1191	841
586	1193	839
587	1195	837
588	1199	836
589	1201	834
590	1203	832
591	1205	830
592	1207	828
593	1210	827
594	1213	825
595	1214	823
596	1219	823
597	1222	821
598	1223	819
599	1225	817
600	1229	816
601	1230	813
602	1232	811
603	1234	809
604	1236	807
605	1238	805
606	1240	803
607	1241	800
608	1244	799
609	1246	796
610	1248	794
611	1249	792
612	1251	789
613	1252	787
614	1254	785
615	1255	782
616	1258	781
617	1259	778
618	1261	776
619	1262	773
620	1263	771
621	1265	768
622	1267	766
623	1271	766
624	1277	766
625	1279	764
626	1281	762
627	1282	759
628	1284	757
629	1285	754
630	1287	752
631	1290	751
632	1295	751
633	1297	748
634	1299	747
635	1302	745
636	1306	744
637	1307	742
638	1309	739
639	1310	737
640	1314	736
641	1315	733
642	1317	731
643	1320	729
644	1321	727
645	1322	724
646	1324	722
647	1325	719
648	1326	717
649	1327	715
650	1329	712
651	1334	712
652	1336	709
653	1337	707
654	1338	705
655	1340	702
656	1341	700
657	1343	698
658	1344	695
659	1345	693
660	1346	690
661	1349	689
662	1351	686
663	1352	684
664	1354	682
665	1356	680
666	1357	677
667	1359	675
668	1360	673
669	1362	671
670	1364	669
671	1366	666
672	1367	664
673	1368	662
674	1369	659
675	1371	657
676	1372	654
677	1373	652
678	1375	650
679	1376	647
680	1379	646
681	1381	644
682	1383	642
683	1384	639
684	1386	637
685	1387	635
686	1389	632
687	1390	630
688	1395	629
689	1397	627
690	1399	625
691	1401	623
692	1403	621
693	1406	619
694	1409	618
695	1411	616
696	1413	614
697	1415	612
698	1418	610
699	1420	608
700	1424	607
701	1426	605
702	1429	604
703	1431	601
704	1433	599
705	1435	597
706	1438	595
707	1441	594
708	1443	592
709	1445	590
710	1447	588
711	1449	586
712	1451	584
713	1453	582
714	1456	580
715	1458	578
716	1461	576
717	1463	574
718	1465	572
719	1467	570
720	1471	569
721	1472	567
722	1474	564
723	1476	562
724	1477	560
725	1479	558
726	1480	556
727	1482	553
728	1483	551
729	1486	549
730	1488	547
731	1489	545
732	1490	543
733	1493	541
734	1495	539
735	1497	537
736	1501	535
737	1503	533
738	1505	531
739	1507	529
740	1510	527
741	1512	525
742	1514	523
743	1516	521
744	1518	519
745	1520	517
746	1522	515
747	1526	514
748	1530	512
749	1532	510
750	1534	508
751	1535	506
752	1537	504
753	1539	502
754	1545	501
755	1547	499
756	1548	497
757	1550	494
758	1551	492
759	1553	490
760	1555	488
761	1560	487
762	1562	485
763	1564	483
764	1566	481
765	1567	478
766	1569	476
767	1571	474
768	1574	473
769	1576	470
770	1578	468
771	1579	466
772	1581	464
773	1582	462
774	1584	459
775	1587	458
776	1589	456
777	1591	454
778	1592	451
779	1595	450
780	1597	447
781	1599	445
782	1602	444
783	1605	442
784	1607	440
785	1609	438
786	1611	436
787	1614	434
788	1618	432
789	1620	430
790	1621	428
791	1625	426
792	1627	424
793	1628	422
794	1632	420
795	1634	418
796	1636	416
797	1637	414
798	1639	412
799	1640	410
800	1641	407
801	1643	405
802	1644	403
803	1647	401
804	1649	399
805	1650	397
806	1652	395
807	1656	393
808	1658	391
809	1659	389
810	1661	387
811	1663	385
812	1664	382
813	1666	380
814	1667	378
815	1668	376
816	1669	374
817	1671	371
818	1672	369
819	1673	367
820	1675	365
821	1678	363
822	1680	361
823	1681	359
824	1682	356
825	1684	354
826	1685	352
827	1687	350
828	1688	348
829	1689	346
830	1692	344
831	1693	342
832	1695	339
833	1696	337
834	1697	335
835	1699	333
836	1700	331
837	1701	329
838	1703	326
839	1704	324
840	1707	322
841	1708	320
842	1709	318
843	1711	316
844	1712	314
845	1713	311
846	1714	309
847	1717	307
848	1718	305
849	1720	303
850	1722	301
851	1724	299
852	1725	297
853	1727	295
854	1729	293
855	1730	291
856	1732	289
857	1733	286
858	1736	284
859	1737	282
860	1739	280
861	1741	278
862	1742	276
863	1743	274
864	1745	272
865	1751	271
866	1752	268
867	1754	266
868	1755	264
869	1756	262
870	1757	260
871	1758	258
872	1759	255
873	1760	253
874	1761	251
875	1762	249
876	1765	247
877	1766	245
878	1767	243
879	1768	241
880	1770	239
881	1771	236
882	1772	234
883	1773	232
884	1774	230
885	1776	228
886	1777	226
887	1779	224
888	1780	222
889	1781	220
890	1782	218
891	1783	215
892	1785	213
893	1786	211
894	1787	209
895	1788	207
896	1789	205
897	1790	203
898	1791	201
899	1792	199
900	1794	197
901	1795	195
902	1796	193
903	1797	190
904	1798	188
905	1799	186
906	1801	184
907	1802	182
908	1803	180
909	1804	178
910	1805	176
911	1806	174
912	1809	172
913	1810	170
914	1812	168
915	1813	166
916	1814	164
917	1815	162
918	1816	160
919	1817	158
920	1818	155
921	1819	153
922	1820	151
923	1821	149
924	1822	147
925	1824	145
926	1825	143
927	1826	141
928	1827	139
929	1828	137
930	1829	135
931	1830	133
932	1832	131
933	1833	129
934	1834	127
935	1835	125
936	1837	123
937	1839	121
938	1840	119
939	1841	117
940	1843	115
941	1844	113
942	1845	111
943	1846	109
944	1847	107
945	1848	105
946	1849	103
947	1850	101
948	1851	99
949	1854	97
950	1855	95
951	1856	93
952	1857	91
953	1858	89
954	1860	87
955	1861	85
956	1862	83
957	1863	81
958	1864	79
959	1865	77
960	1866	75
961	1868	73
962	1869	71
963	1873	69
964	1875	68
965	1876	66
966	1878	64
967	1879	62
968	1880	60
969	1881	58
970	1884	56
971	1885	54
972	1886	52
973	1887	50
974	1888	48
975	1889	46
976	1890	44
977	1891	42
978	1892	40
979	1893	38
980	1894	36
981	1895	34
982	1896	32
983	1898	30
984	1899	28
985	1901	26
986	1902	25
987	1903	23
988	1904	21
989	1905	19
990	1906	17
991	1908	15
992	1909	13
993	1910	11
994	1911	9
995	1913	7
996	1914	5
997	1915	3
998	1916	1
999	1918	0
